Date,Open,High,Low,Close,Adj Close,Volume,upper,lower,middle,SMA200,signal_BASEDONDC&SMA_buy,signal_BASEDONDC&SMA_sell,Final
2023-01-20,234.86000061035156,240.74000549316406,234.50999450683594,240.22000122070312,237.2412872314453,35389800,,,,,0,0,0
2023-01-23,241.10000610351562,245.1699981689453,239.64999389648438,242.5800018310547,239.57200622558594,31934000,,,,,0,0,0
2023-01-24,242.5,243.9499969482422,240.44000244140625,242.0399932861328,239.03871154785156,40234400,,,,,0,0,0
2023-01-25,234.47999572753906,243.3000030517578,230.89999389648438,240.61000061035156,237.62644958496094,66526600,,,,,0,0,0
2023-01-26,243.64999389648438,248.30999755859375,242.0,248.0,244.9248046875,33454500,,,,,0,0,0
2023-01-27,248.99000549316406,249.8300018310547,246.8300018310547,248.16000366210938,245.0828399658203,26498900,,,,,0,0,0
2023-01-30,244.50999450683594,245.60000610351562,242.1999969482422,242.7100067138672,239.70040893554688,25867400,,,,,0,0,0
2023-01-31,243.4499969482422,247.9499969482422,242.9499969482422,247.80999755859375,244.73716735839844,26541100,,,,,0,0,0
2023-02-01,248.0,255.17999267578125,245.47000122070312,252.75,249.6159210205078,31259900,,,,,0,0,0
2023-02-02,258.82000732421875,264.69000244140625,257.25,264.6000061035156,261.3189697265625,39940400,,,,,0,0,0
2023-02-03,259.5400085449219,264.20001220703125,257.1000061035156,258.3500061035156,255.14646911621094,29077300,,,,,0,0,0
2023-02-06,257.44000244140625,258.29998779296875,254.77999877929688,256.7699890136719,253.58604431152344,22518000,,,,,0,0,0
2023-02-07,260.5299987792969,268.7699890136719,260.0799865722656,267.55999755859375,264.24224853515625,50841400,,,,,0,0,0
2023-02-08,273.20001220703125,276.760009765625,266.2099914550781,266.7300109863281,263.4225769042969,54686000,,,,,0,0,0
2023-02-09,273.79998779296875,273.9800109863281,262.79998779296875,263.6199951171875,260.35113525390625,42375100,,,,,0,0,0
2023-02-10,261.5299987792969,264.0899963378906,260.6600036621094,263.1000061035156,259.8376159667969,25818500,,,,,0,0,0
2023-02-13,267.6400146484375,274.6000061035156,267.1499938964844,271.32000732421875,267.95562744140625,44630900,,,,,0,0,0
2023-02-14,272.6700134277344,274.9700012207031,269.2799987792969,272.1700134277344,268.7951354980469,37047900,,,,,0,0,0
2023-02-15,268.32000732421875,270.7300109863281,266.17999267578125,269.32000732421875,266.64666748046875,28922400,,,,,0,0,0
2023-02-16,264.0199890136719,266.739990234375,261.8999938964844,262.1499938964844,259.54779052734375,29603600,,,,,0,0,0
2023-02-17,259.3900146484375,260.0899963378906,256.0,258.05999755859375,255.4984130859375,30000100,,,,,0,0,0
2023-02-21,254.47999572753906,255.49000549316406,251.58999633789062,252.6699981689453,250.1619110107422,28397400,,,,,0,0,0
2023-02-22,254.08999633789062,254.33999633789062,250.33999633789062,251.50999450683594,249.013427734375,22491100,,,,,0,0,0
2023-02-23,255.55999755859375,256.8399963378906,250.47999572753906,254.77000427246094,252.24107360839844,29219100,,,,,0,0,0
2023-02-24,249.9600067138672,251.0,248.10000610351562,249.22000122070312,246.74615478515625,24990900,,,,,0,0,0
2023-02-27,252.4600067138672,252.82000732421875,249.38999938964844,250.16000366210938,247.6768341064453,21190000,,,,,0,0,0
2023-02-28,249.07000732421875,251.49000549316406,248.72999572753906,249.4199981689453,246.94418334960938,22491000,,,,,0,0,0
