Open,High,Low,Close,Adj Close,Volume,Upper,Lower,Middle,RSI,ADX,Signal,Ticker
7.622499942779541,7.660714149475098,7.585000038146973,7.643214225769043,6.47074031829834,493729600,,,,,,0,AAPL
7.664286136627197,7.699643135070801,7.6160712242126465,7.656428813934326,6.481929779052734,601904800,,,,,,0,AAPL
7.656428813934326,7.68678617477417,7.526785850524902,7.534643173217773,6.378824710845947,552160000,,,,,,0,AAPL
7.5625,7.5714287757873535,7.466071128845215,7.520713806152344,6.367033004760742,477131200,,,,,,0,AAPL
7.510714054107666,7.5714287757873535,7.466429233551025,7.570713996887207,6.409362316131592,447610800,,,,,,0,AAPL
7.599999904632568,7.607142925262451,7.444643020629883,7.503929138183594,6.352821350097656,462229600,,,,,,0,AAPL
7.471070766448975,7.491786003112793,7.372142791748047,7.4185709953308105,6.280559062957764,594459600,,,,,,0,AAPL
7.423929214477539,7.533214092254639,7.289286136627197,7.523213863372803,6.369148254394531,605892000,,,,,,0,AAPL
7.503929138183594,7.5164289474487305,7.465000152587891,7.479642868041992,6.3322625160217285,432894000,,,,,,0,AAPL
7.533214092254639,7.557143211364746,7.352499961853027,7.354642868041992,6.226436614990234,594067600,,,,,,0,AAPL
7.440357208251953,7.685357093811035,7.401429176330566,7.679999828338623,6.501883506774902,730007600,,,,,,0,AAPL
7.675356864929199,7.698214054107666,7.482142925262451,7.56178617477417,6.4018049240112305,612152800,,,,,,0,AAPL
7.574285984039307,7.618214130401611,7.400356769561768,7.431070804595947,6.291139602661133,608154400,,,,,,0,AAPL
7.385000228881836,7.410714149475098,7.041429042816162,7.0625,5.9791083335876465,881767600,,,,,,0,AAPL
7.232500076293945,7.310713768005371,7.1496429443359375,7.252500057220459,6.139962196350098,1065699600,,,,38.88212120661157,,0,AAPL
7.3553571701049805,7.632500171661377,7.235000133514404,7.355000019073486,6.226738929748535,1867110000,,,,42.49463506110544,,0,AAPL
7.387499809265137,7.520713806152344,7.126070976257324,7.424285888671875,6.285396575927734,1722568400,,,,44.8668796935966,,0,AAPL
7.318929195404053,7.339285850524902,7.096428871154785,7.117499828338623,6.025670528411865,1173502400,,,,37.491852271020605,,0,AAPL
7.181428909301758,7.221428871154785,6.794642925262451,6.859285831451416,5.807068347930908,1245952400,,,,32.63017606761087,,0,AAPL
6.870357036590576,7.0,6.8321428298950195,6.9546427726745605,5.887795925140381,749876400,7.679999828338623,6.859285831451416,7.2696428298950195,35.934123440793094,,0,AAPL
6.996786117553711,7.0114288330078125,6.906428813934326,6.994999885559082,5.921962261199951,698342400,7.679999828338623,6.859285831451416,7.2696428298950195,37.334827570200076,,0,AAPL
6.9703569412231445,7.150000095367432,6.943571090698242,7.115356922149658,6.023857593536377,615328000,7.679999828338623,6.859285831451416,7.2696428298950195,41.44641214203691,,0,AAPL
7.026071071624756,7.0846428871154785,6.841785907745361,6.85892915725708,5.806766510009766,757652000,7.679999828338623,6.85892915725708,7.269464492797852,36.023341863715245,,0,AAPL
6.879642963409424,7.0,6.816071033477783,6.980713844299316,5.909869194030762,850306800,7.679999828338623,6.85892915725708,7.269464492797852,40.03625155038746,,0,AAPL
6.98892879486084,7.067142963409424,6.9285712242126465,6.932857036590576,5.869353771209717,478270800,7.679999828338623,6.85892915725708,7.269464492797852,39.00099207532807,,0,AAPL
7.014999866485596,7.0535712242126465,6.955357074737549,7.006785869598389,5.931940078735352,632886800,7.679999828338623,6.85892915725708,7.269464492797852,41.51682366079856,,0,AAPL
6.996070861816406,7.021429061889648,6.937857151031494,6.968571186065674,5.899589538574219,370361600,7.679999828338623,6.85892915725708,7.269464492797852,40.585017387760665,,0,AAPL
6.960000038146973,7.1339287757873535,6.930714130401611,7.0953569412231445,6.006925582885742,550345600,7.679999828338623,6.85892915725708,7.269464492797852,44.99586193069786,31.73937562334915,0,AAPL
7.075356960296631,7.2014288902282715,6.982142925262451,7.156428813934326,6.058627605438232,655468800,7.679999828338623,6.85892915725708,7.269464492797852,47.03555880767826,29.983920002791933,0,AAPL
7.2121429443359375,7.2746429443359375,7.197143077850342,7.264286041259766,6.14993953704834,543737600,7.679999828338623,6.85892915725708,7.269464492797852,50.52494659504306,27.848352618612008,0,AAPL
7.292500019073486,7.296785831451416,7.1735711097717285,7.23392915725708,6.124241828918457,436396800,7.56178617477417,6.85892915725708,7.210357666015625,49.53576430299143,26.01687382261563,0,AAPL
7.201070785522461,7.28178596496582,7.175714015960693,7.247499942779541,6.1357293128967285,422825200,7.431070804595947,6.85892915725708,7.144999980926514,50.0069720164449,24.316214940618995,0,AAPL
7.209286212921143,7.257143020629883,7.182499885559082,7.202499866485596,6.097630977630615,415469600,7.424285888671875,6.85892915725708,7.1416075229644775,48.39333017461257,22.73703169305069,0,AAPL
7.226428985595703,7.232142925262451,7.11392879486084,7.1578569412231445,6.059837341308594,390563600,7.424285888671875,6.85892915725708,7.1416075229644775,46.78058297797227,21.80754533363674,0,AAPL
7.142857074737549,7.190357208251953,6.989643096923828,7.0378570556640625,5.958245754241943,575094800,7.424285888671875,6.85892915725708,7.1416075229644775,42.66470574547663,21.785678624278315,0,AAPL
7.0796427726745605,7.194285869598389,7.065713882446289,7.166429042816162,6.067094802856445,460566400,7.424285888671875,6.85892915725708,7.1416075229644775,47.948879318667,21.7270024456414,0,AAPL
7.049285888671875,7.244999885559082,7.03178596496582,7.214285850524902,6.107611179351807,665126000,7.264286041259766,6.85892915725708,7.061607599258423,49.803316416552114,21.172199906904012,0,AAPL
